ID,LISTING_ID,REVIEW_SCORE,REVIEW_DATE
248,10986,3,2016-05-23
249,10986,5,2016-05-23
250,22354,5,2013-04-01
251,22354,5,2013-04-09
252,22354,5,2013-04-16
253,22354,5,2013-04-24
254,22354,5,2013-05-02
255,22354,2,2013-05-09
256,22354,5,2013-05-17
257,22354,4,2013-05-25
258,22354,5,2013-06-01
259,22354,5,2013-06-09
260,22354,3,2013-06-16
261,22354,5,2013-06-24
262,22354,5,2013-07-02
263,22354,5,2013-07-09
264,22354,4,2013-07-17
265,22354,5,2013-07-25
266,22354,4,2013-08-01
267,22354,4,2013-08-09
268,22354,5,2013-08-17
269,22354,5,2013-08-24
270,22354,5,2013-09-01
271,22354,5,2013-09-09
272,22354,4,2013-09-16
273,22354,3,2013-09-24
274,22354,5,2013-10-01
275,22354,4,2013-10-09
276,22354,5,2013-10-17
277,22354,3,2013-10-24
278,22354,3,2013-11-01
279,22354,4,2013-11-09
280,22354,5,2013-11-16
281,22354,5,2013-11-24
282,22354,4,2013-12-02
283,22354,4,2013-12-09
284,22354,5,2013-12-17
285,22354,5,2013-12-25
286,22354,5,2014-01-01
287,22354,5,2014-01-09
288,22354,5,2014-01-16
289,22354,5,2014-01-24
290,22354,5,2014-02-01
291,22354,5,2014-02-08
292,22354,5,2014-02-16
293,22354,5,2014-02-24
294,22354,5,2014-03-03
295,22354,5,2014-03-11
296,22354,4,2014-03-19
297,22354,5,2014-03-26
298,22354,5,2014-04-03
299,22354,5,2014-04-11
300,22354,4,2014-04-18
301,22354,4,2014-04-26
302,22354,5,2014-05-04
303,22354,5,2014-05-11
304,22354,4,2014-05-19
305,22354,5,2014-05-26
306,22354,5,2014-06-03
307,22354,5,2014-06-11
308,22354,5,2014-06-18
309,22354,4,2014-06-26
310,22354,5,2014-07-04
311,22354,5,2014-07-11
312,22354,5,2014-07-19
313,22354,4,2014-07-27
314,22354,5,2014-08-03
315,22354,5,2014-08-11
316,22354,5,2014-08-19
317,22354,5,2014-08-26
318,22354,5,2014-09-03
319,22354,4,2014-09-10
320,22354,5,2014-09-18
321,22354,5,2014-09-26
322,22354,5,2014-10-03
323,22354,4,2014-10-11
